141	-154	-194
141	-153	-191
141	-156	-193
141	-156	-193
140	-155	-190
140	-159	-191
141	-155	-192
141	-155	-190
141	-157	-192
141	-153	-192
141	-155	-192
141	-155	-190
140	-157	-192
140	-156	-193
140	-158	-192
141	-158	-194
140	-158	-192
140	-157	-192
140	-158	-192
140	-158	-190
140	-152	-194
140	-158	-191
140	-155	-190
140	-156	-190
140	-157	-193
140	-156	-192
140	-155	-191
140	-155	-192
140	-158	-191
140	-155	-193
140	-155	-191
140	-155	-190
140	-154	-192
140	-153	-192
141	-158	-192
141	-156	-193
141	-158	-191
141	-154	-192
141	-156	-192
141	-152	-192
141	-156	-190
141	-154	-192
141	-155	-192
142	-155	-192
142	-155	-192
143	-156	-190
143	-156	-191
143	-154	-191
142	-155	-190
142	-157	-193
141	-156	-192
141	-155	-192
140	-155	-194
140	-155	-192
140	-155	-191
140	-152	-188
140	-154	-193
140	-156	-192
141	-155	-192
140	-156	-194
140	-154	-191
140	-155	-192
140	-152	-192
141	-155	-191
141	-152	-192
141	-154	-193
141	-154	-191
141	-154	-194
141	-152	-193
141	-156	-194
141	-156	-192
141	-156	-191
141	-155	-191
141	-155	-194
141	-157	-195
141	-152	-190
141	-155	-191
141	-154	-192
141	-156	-188
141	-154	-192
141	-152	-192
141	-155	-192
141	-156	-190
141	-155	-190
141	-155	-190
141	-155	-191
141	-155	-194
141	-152	-189
141	-155	-190
141	-156	-194
141	-156	-191
141	-155	-192
141	-156	-194
141	-154	-192
141	-155	-192
141	-152	-194
141	-155	-193
141	-154	-192
141	-154	-194
141	-154	-193
143	-156	-196
143	-158	-197
143	-154	-196
143	-156	-195
143	-156	-195
143	-156	-195
143	-156	-194
143	-154	-194
143	-157	-194
142	-154	-195
142	-157	-196
142	-155	-195
141	-156	-196
142	-156	-196
142	-156	-195
142	-156	-196
142	-156	-192
142	-158	-194
142	-157	-195
142	-156	-194
142	-156	-195
141	-154	-196
141	-157	-192
141	-158	-192
141	-156	-192
141	-156	-192
141	-158	-194
141	-154	-191
140	-154	-194
140	-155	-192
140	-156	-192
140	-156	-192
140	-156	-193
140	-154	-195
139	-156	-197
139	-156	-195
139	-154	-195
139	-156	-195
139	-155	-195
139	-157	-193
140	-156	-191
139	-154	-193
139	-155	-194
140	-156	-196
140	-152	-192
140	-152	-195
140	-154	-196
140	-154	-194
140	-154	-196
140	-154	-196
140	-157	-195
140	-156	-194
140	-152	-194
140	-154	-196
140	-157	-192
140	-155	-196
140	-156	-195
140	-154	-196
140	-155	-194
141	-152	-192
141	-155	-194
142	-156	-192
142	-156	-195
142	-154	-193
142	-155	-193
142	-152	-192
142	-154	-191
141	-155	-192
141	-151	-194
141	-155	-192
141	-155	-190
140	-152	-195
140	-154	-196
140	-153	-195
140	-154	-192
140	-154	-194
140	-153	-192
140	-158	-194
141	-152	-192
141	-154	-195
141	-153	-195
141	-157	-193
141	-156	-192
141	-154	-195
140	-155	-194
140	-156	-196
140	-154	-192
140	-155	-196
140	-155	-195
140	-154	-191
140	-157	-192
140	-153	-193
140	-153	-193
140	-154	-193
